#Energy [keV]              Counts per [keV-s]              Error
666              -9.07743e-05                8.39079e-05
667              -1.54874e-05                8.70211e-05
668              -0.000109046                8.28587e-05
669              1.55698e-05                8.43284e-05
670              -0.000157952                7.93091e-05
671              -8.1562e-05                8.05737e-05
672              -0.000145589                8.07196e-05
673              -4.04831e-05                8.19238e-05
674              6.87358e-05                8.74007e-05
675              6.91525e-05                8.52587e-05
676              -0.000128825                8.00374e-05
677              -8.60977e-05                8.13796e-05
678              -1.43783e-05                8.21614e-05
679              5.23948e-05                8.29849e-05
680              1.9284e-05                8.20732e-05
681              7.27259e-05                8.47414e-05
682              2.12086e-05                8.15524e-05
683              0.000145947                8.99211e-05
684              1.57107e-05                8.26071e-05
685              8.17972e-05                8.31869e-05
686              -0.000127863                7.97708e-05
687              -6.47983e-05                7.98902e-05
688              9.40252e-05                8.33121e-05
689              -0.000113159                7.83201e-05
690              2.29923e-05                8.27825e-05
691              6.42001e-05                8.81443e-05
692              -1.39795e-05                8.86414e-05
693              1.85737e-05                9.30859e-05
694              0.000121467                0.000100065
695              -0.000176811                9.60898e-05
696              2.78349e-07                0.000102269
697              -0.000191104                9.79027e-05
698              6.623e-05                0.000101736
699              -0.000145214                9.79353e-05
700              -0.000122131                9.77408e-05
701              5.88193e-05                9.81022e-05
702              -0.000139159                9.36002e-05
703              2.14487e-05                9.75787e-05
704              -0.000158533                9.44245e-05
705              -0.00022516                8.9445e-05
706              9.55034e-05                9.84206e-05
707              5.79411e-06                9.38568e-05
708              3.21629e-05                9.87423e-05
709              -2.59071e-06                9.54466e-05
710              1.99408e-05                9.61091e-05
711              -3.94038e-05                9.13806e-05
712              1.81596e-06                9.10079e-05
713              -9.60024e-05                8.7312e-05
714              8.89261e-05                9.06689e-05
715              -6.48103e-05                8.58305e-05
716              -7.80006e-05                8.59571e-05
717              6.95572e-05                8.87898e-05
718              -3.40348e-05                8.64881e-05
719              -4.58462e-05                8.41992e-05
720              -0.000118111                8.14519e-05
721              2.24347e-05                8.6661e-05
722              4.02957e-05                8.69639e-05
723              -3.05964e-05                8.47786e-05
724              -0.000174575                7.81809e-05
725              6.76386e-05                8.64675e-05
726              8.60511e-05                8.58151e-05
727              -6.17765e-05                8.0371e-05
728              5.91248e-05                8.41456e-05
729              0.0001509                8.70944e-05
730              2.10677e-05                8.32956e-05
731              7.9321e-05                8.46773e-05
732              -2.70111e-05                7.81988e-05
733              -0.000153416                7.84819e-05
734              -8.48086e-08                7.99924e-05
735              -0.000113018                7.64637e-05
736              -0.000122635                7.60297e-05
737              5.50058e-05                8.27114e-05
738              8.60571e-05                8.28976e-05
739              -7.20741e-05                7.65586e-05
740              -1.25886e-05                8.03768e-05
741              -1.32811e-05                8.3143e-05
742              -7.46792e-05                7.35821e-05
743              5.39086e-05                8.17246e-05
744              -3.33364e-05                8.08434e-05
745              0.000160939                8.23988e-05
746              -3.45685e-05                7.854e-05
747              -2.9892e-05                7.5833e-05
748              -0.000100514                7.60596e-05
749              -8.82921e-05                7.93607e-05
750              -1.79398e-05                7.65114e-05
751              -6.35543e-05                7.59285e-05
752              -3.90983e-05                7.62027e-05
753              0.000225512                8.42215e-05
754              -0.000201495                7.305e-05
755              2.98692e-05                7.91667e-05
756              -3.59356e-05                7.48101e-05
757              -3.62173e-05                7.85573e-05
758              4.86983e-05                7.60601e-05
759              6.93052e-05                7.7442e-05
760              -6.47924e-05                7.67478e-05
761              -6.34194e-05                7.72658e-05
762              -0.000132387                7.42258e-05
763              7.83706e-05                7.89203e-05
764              -0.000146129                7.54732e-05
765              -5.31159e-05                7.79491e-05
766              1.55804e-06                8.29957e-05
767              -4.26776e-05                7.99186e-05
768              0.00012192                8.17914e-05
769              -0.000139258                7.48521e-05
770              -4.2126e-05                7.88797e-05
771              4.56706e-05                7.8742e-05
772              -9.87305e-05                7.7377e-05
773              -7.01495e-05                7.60001e-05
774              3.24862e-05                7.56956e-05
775              5.87201e-05                8.04108e-05
776              -2.27453e-05                7.46646e-05
777              2.8772e-05                7.81352e-05
778              3.71568e-05                7.61851e-05
779              -7.02844e-05                7.46401e-05
780              -6.91872e-05                7.57193e-05
781              -3.19515e-05                7.50399e-05
782              -4.89851e-05                7.30133e-05
783              5.61149e-05                7.75823e-05
